player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,home,game_id
Mohammed Kudus,20,ghGHA,RW,25-014,84,40,0,6,8,27,4,40,3,2,66.7,1,33.3,24,153,41,1,0,0,2,1,29,8,True,Tottenham_Burnley_20250816
Mathys Tel,11,frFRA,LW,20-111,6,5,0,0,3,2,0,5,0,0,,0,,3,16,0,0,0,0,0,0,4,1,True,Tottenham_Burnley_20250816
Lucas Bergvall,15,seSWE,LM,19-195,79,30,1,4,15,12,1,30,2,2,100.0,0,0.0,18,165,63,2,0,0,1,0,20,0,True,Tottenham_Burnley_20250816
João Palhinha,6,ptPOR,"DM,LM",30-038,11,14,0,2,12,0,0,14,0,0,,0,,12,40,17,0,0,0,0,0,13,0,True,Tottenham_Burnley_20250816
Archie Gray,14,engENG,CM,19-157,70,46,1,7,34,5,1,46,0,0,,0,,32,159,79,2,0,0,1,0,33,0,True,Tottenham_Burnley_20250816
Rodrigo Bentancur,30,uyURU,"DM,CM",28-052,20,16,1,5,10,1,0,16,0,0,,0,,9,65,18,0,0,0,0,0,11,0,True,Tottenham_Burnley_20250816
Pape Matar Sarr,29,snSEN,"RM,AM",22-336,90,61,3,16,30,17,1,61,5,3,60.0,1,20.0,34,201,100,1,3,1,0,2,43,3,True,Tottenham_Burnley_20250816
Djed Spence,24,engENG,LB,25-007,90,61,4,13,28,21,2,61,1,1,100.0,0,0.0,44,373,257,4,7,0,0,0,51,2,True,Tottenham_Burnley_20250816
Micky van de Ven,37,nlNED,CB,24-119,90,82,10,52,25,6,2,82,2,0,0.0,1,50.0,55,289,81,1,2,0,1,0,60,0,True,Tottenham_Burnley_20250816
Cristian Romero,17,arARG,CB,27-111,90,94,11,55,36,3,3,94,0,0,,0,,67,264,133,0,0,0,1,0,71,0,True,Tottenham_Burnley_20250816
Pedro Porro,23,esESP,RB,25-337,90,91,2,31,35,26,0,91,1,1,100.0,0,0.0,54,241,140,2,2,0,1,0,60,4,True,Tottenham_Burnley_20250816
Guglielmo Vicario,1,itITA,GK,28-313,90,51,41,51,0,0,0,51,0,0,,0,,36,147,68,0,0,0,0,0,33,0,True,Tottenham_Burnley_20250816
Lyle Foster,9,zaRSA,FW,24-347,73,21,2,2,8,11,3,21,2,2,100.0,0,0.0,10,41,29,1,1,0,4,0,15,3,False,Tottenham_Burnley_20250816
Zian Flemming,19,nlNED,FW,27-015,17,4,0,0,1,3,0,4,0,0,,0,,2,18,15,1,1,0,0,0,3,2,False,Tottenham_Burnley_20250816
Jaidon Anthony,11,engENG,"LM,RM",25-258,84,36,1,5,16,17,4,36,4,0,0.0,2,50.0,19,55,27,0,0,0,0,3,25,1,False,Tottenham_Burnley_20250816
Marcus Edwards,10,engENG,FW,26-256,6,1,0,0,0,1,0,1,0,0,,0,,1,0,0,0,0,0,1,0,1,0,False,Tottenham_Burnley_20250816
Josh Cullen,24,ieIRL,CM,29-131,90,47,1,6,33,9,0,47,0,0,,0,,22,62,8,0,1,0,1,1,27,0,False,Tottenham_Burnley_20250816
Josh Laurent,29,engENG,CM,30-102,62,22,2,7,6,9,2,22,0,0,,0,,11,34,20,1,0,1,0,1,10,2,False,Tottenham_Burnley_20250816
Lesley Ugochukwu,8,frFRA,CM,21-143,28,6,0,1,2,3,1,6,0,0,,0,,4,17,8,0,0,0,0,1,5,0,False,Tottenham_Burnley_20250816
